success_register,{0} welcome to IdleBot!
error_already_registered,{0} you are already registered!
error_someone_unregistered,{0} is not registered. Please register using [/register]
error_you_unregistered,{0} you're not registered. Please register using [/register]
error_nan,Provided value is not a number
error_not_enough_money,You don't have enough money!
error_cant_interact,{0} you can't interact with that!
lang_updated,{0} your language has been set to English
notation_updated_sc,{0} you are now using scientific notation
notation_updated_unit,{0} you are now using units notation
ephemeral_updated_on,{0} ephemeral mode is now active
ephemeral_updated_off,{0} ephemeral mode is no longer active
ephemeral_updated_default,{0} ephemeral mode is set to default
requested_by,Requested by {0}
equipment_title,Equipment of {0}
profile_title,Profile of {0}
sword,Sword
sword_steel,Steel Sword
sword_black,Black Sword
sword_light,Light Sword
sword_demon,Demon Sword
sword_great,Greatsword
sword_ember,Ember Sword
sword_infernal,Infernal Sword
sword_rage,Rage Sword
sword_elemental,Elemental Sword
sword_life,Life Sword
sword_god,God Sword
shield,Shield
shield_reinforced,Reinforced Shield
shield_iron,Iron Shield
shield_steel,Steel Shield
shield_knight,Knight Shield
shield_titanium,Titanium Shield
shield_golden,Golden Shield
shield_infernal,Infernal Shield
shield_spirit,Spirit Shield
shield_hero,Hero Shield
shield_king,King Shield
shield_crystal,Crystal Shield
armor,Armor
armor_burlap,Burlap Armor
armor_leather,Leather Armor
armor_reinforced,Reinforced Armor
armor_steel,Steel Armor
armor_steel_full,Full Steel Armor
armor_golden_full,Full Gold Armor
armor_dragon,Dragon Armor
armor_warlord,Warlord Armor
armor_break_s,Break's Armor
armor_black_dragon,Black Dragon Armor
armor_shadow_knight,Shadow Knight Armor
helmet,Helmet
helmet_burlap,Burlap Helmet
helmet_leather,Leather Helmet
helmet_reinforced,Reinforced Helmet
helmet_steel,Steel Helmet
helmet_steel_full,Steel Full Helmet
helmet_golden,Golden Helmet
helmet_dragon,Dragon Helmet
helmet_champion_s,Champion's Helmet
helmet_warrior,Warrior Helmet
helmet_dark_steel,Dark Steel Helmet
helmet_glorious,Glorious Helmet
boots,Boots
boots_burlap,Burlap Boots
boots_leather,Leather Boots
boots_reinforced,Reinforced Boots
boots_iron,Iron Boots
boots_steel,Steel Boots
boots_golden,Golden Boots
boots_dragon,Dragon Boots
boots_dash,Dash Boots
boots_climbing,Climbing Boots
boots_mobious,Mobious Boots
boots_idle,Idle Boots
ring,Ring
ring_silver,Silver Ring
ring_magic,Magic Ring
ring_mind,Mind Ring
ring_shadow,Shadow Ring
ring_dragon,Dragon Ring
ring_dual_stone,Duel Stone Ring
ring_mystic,Mystic Ring
ring_spectral,Spectral Ring
ring_albatross,Albatross Ring
ring_energy,Energy Ring
ring_phantom,Phantom Ring
dagger,Dagger
dagger_black,Black Dagger
dagger_golden,Golden Dagger
dagger_demon,Demon Dagger
dagger_dragon,Dragon Dagger
dagger_glory,Glory Dagger
dagger_kunai,Kunai
dagger_zap,Zap Dagger
dagger_abyssal,Abyssal Dagger
dagger_larret_s,Larret's Dagger
dagger_flame,Flame Dagger
dagger_breaker,Dagger Breaker
axe,Axe
axe_black,Black Axe
axe_golden,Golden Axe
axe_demon,Demon Axe
axe_infernal_battle,Infernal Battle Axe
axe_battle,Battle Axe
axe_beast,Beast Axe
axe_tri,Triaxe
axe_crystal,Cystal Axe
axe_chopan_s,Chopan's Axe
axe_blood_moon,Blood Moon Axe
axe_wide_blood_moon,Wide Blood Moon Axe
staff,Staff
staff_black,Black Staff
staff_light,Light Staff
staff_fire,Fire Staff
staff_aqua,Aqua Staff
staff_emerald,Emerald Staff
staff_holy,Holy Staff
staff_dragon,Dragon Staff
staff_red_rose,Red Rose Staff
staff_celestial,Celestial Staff
staff_sacred,Sacred Staff
staff_limit,Staff of Limit
bow,Bow
bow_black,Black Bow
bow_light,Light Bow
bow_demon,Demon Bow
bow_crystal,Crystal Bow
bow_slash,Slash Bow
bow_lava,Lava Bow
bow_thunder,Thunder Bow
bow_idle,Idle Bow
bow_lethal,Lethal Bow
bow_hydro,Hydro Bow
bow_hyper,Hyper Bow
spellbook,Spellbook
spellbook_elder,Elder Spellbook
spellbook_destiny,Book of Destiny
spellbook_infinity,Book of Infinity
spellbook_secret,Book of Secret
spellbook_ancient,Ancient Spellbook
spellbook_static,Book of Static
spellbook_incineration,Book of Incineration
spellbook_guardian,Book of The Guardians
spellbook_titans,Book of Titans
spellbook_hellfire,Hellfire Tome
spellbook_unknown,Tome of The Unknown
spirit,Spirit
necklace,Necklace
coins,Coins
production,Production
display_equipment_button,Display Equipment
display_profile_button,Display Profile
redo_level_up_button,Repeat Purchase
level_s,{0} Level
level_p,{0} Levels
cost,Cost
expired,Expired
eqpm_upgrade_success,Your {0} {1} is now level **{2}**! (+{3} levels)
eqpm_upgrade_ask_eqpm,{0} which piece of equipment should be upgraded?
eqpm_upgrade_ask_level,{0} by how many levels should your {1} {2} level up?
nbr_custom,Custom
nbr_max,Max
progression_reset,{0} your progression has been reset!
